Id,Security Id,Security Id Scheme,Start Date,End Date,Fixed Rate,Coupon Frequency,First coupon,Currency,Notional
XS2066706909,XS2066706909,OG-Security,2019-10-17,2027-06-17,0.375,1,2019-10-17,EUR,1
XS2067135421,XS2067135421,OG-Security,2019-10-21,2025-10-21,0.375,1,2019-10-21,EUR,1
XS2068071641,XS2068071641,OG-Security,2019-10-24,2029-10-24,0,1,2019-10-24,EUR,1
XS2068969067,XS2068969067,OG-Security,2019-10-30,2026-10-30,0.25,1,2019-10-30,EUR,1
XS2069380991,XS2069380991,OG-Security,2019-10-24,2026-10-24,0.25,1,2019-10-24,EUR,1
XS2078667925,XS2078667925,OG-Security,2019-11-12,2029-11-12,0.625,1,2019-11-12,EUR,1
XS2078734626,XS2078734626,OG-Security,2019-11-08,2027-11-08,0.125,1,2019-11-08,EUR,1
XS2079079799,XS2079079799,OG-Security,2019-11-13,2030-11-13,1,1,2019-11-13,EUR,1
XS2079713322,XS2079713322,OG-Security,2019-11-15,2026-11-15,0.375,1,2019-11-15,EUR,1
XS2079716853,XS2079716853,OG-Security,2019-11-15,2025-11-15,0,1,2019-11-15,EUR,1
XS2079716937,XS2079716937,OG-Security,2019-11-15,2031-11-15,0.5,1,2019-11-15,EUR,1
XS2079723552,XS2079723552,OG-Security,2019-11-14,2023-11-14,0.05,1,2019-11-14,EUR,1
XS2080205367,XS2080205367,OG-Security,2019-11-15,2025-11-15,0.75,1,2019-11-15,EUR,1
XS2082345955,XS2082345955,OG-Security,2019-11-21,2029-11-21,0.625,1,2019-11-21,EUR,1
XS2082429890,XS2082429890,OG-Security,2020-02-11,2081-05-11,1.375,1,2020-02-11,EUR,1
XS2083976139,XS2083976139,OG-Security,2019-11-28,2029-11-28,0.75,1,2019-11-28,EUR,1
XS2084050637,XS2084050637,OG-Security,2019-11-26,2025-02-26,0.375,1,2019-11-26,EUR,1
XS2084418339,XS2084418339,OG-Security,2019-12-02,2026-12-02,0.875,1,2019-12-02,EUR,1
XS2100663223,XS2100663223,OG-Security,2020-01-17,2022-10-15,0.125,1,2020-01-17,EUR,1
XS2100663579,XS2100663579,OG-Security,2020-01-17,2025-07-15,0.625,1,2020-01-17,EUR,1
XS2100664114,XS2100664114,OG-Security,2020-01-17,2030-03-15,1.5,1,2020-01-17,EUR,1
XS2102283061,XS2102283061,OG-Security,2020-01-15,2027-01-15,0.6,1,2020-01-15,EUR,1
XS2102357014,XS2102357014,OG-Security,2020-01-14,2027-01-14,0.375,1,2020-01-14,EUR,1
