Expiry,Strike,Maturity,Waarde
14,11,4,0.86
15,11,4,0.83
16,11,4,0.79
17,11,4,0.73
18,11,4,0.74
19,11,4,0.75
1,12,4,2.48
2,12,4,2.53
3,12,4,2.07
4,12,4,1.82
5,12,4,1.5
6,12,4,1.28
7,12,4,1.2
8,12,4,1.1
9,12,4,0.97
10,12,4,1.02
11,12,4,0.99
12,12,4,0.98
13,12,4,0.97
14,12,4,0.96
15,12,4,0.92
16,12,4,0.86
17,12,4,0.78
18,12,4,0.81
19,12,4,0.83
1,1,5,0.75
2,1,5,0.79
3,1,5,0.65
4,1,5,0.59
5,1,5,0.5
6,1,5,0.49
7,1,5,0.49
8,1,5,0.48
9,1,5,0.46
10,1,5,0.47
11,1,5,0.5
12,1,5,0.51
13,1,5,0.53
14,1,5,0.54
15,1,5,0.5
16,1,5,0.45
17,1,5,0.36
18,1,5,0.36
19,1,5,0.33
1,2,5,0.61
2,2,5,0.64
3,2,5,0.55
4,2,5,0.51
5,2,5,0.45
6,2,5,0.46
7,2,5,0.48
8,2,5,0.49
9,2,5,0.5
10,2,5,0.51
11,2,5,0.53
12,2,5,0.55
13,2,5,0.56
14,2,5,0.56
15,2,5,0.55
16,2,5,0.53
17,2,5,0.49
18,2,5,0.47
19,2,5,0.46
1,3,5,0.42
2,3,5,0.45
3,3,5,0.41
4,3,5,0.4
5,3,5,0.38
6,3,5,0.42
7,3,5,0.45
8,3,5,0.48
9,3,5,0.5
10,3,5,0.51
11,3,5,0.53
12,3,5,0.54
13,3,5,0.55
14,3,5,0.56
15,3,5,0.55
16,3,5,0.54
17,3,5,0.52
18,3,5,0.51
19,3,5,0.5
1,4,5,0.32
2,4,5,0.34
3,4,5,0.35
4,4,5,0.35
5,4,5,0.36
6,4,5,0.41
7,4,5,0.44
8,4,5,0.47
9,4,5,0.5
10,4,5,0.52
11,4,5,0.53
12,4,5,0.54
13,4,5,0.55
14,4,5,0.56
15,4,5,0.56
16,4,5,0.55
17,4,5,0.53
18,4,5,0.52
19,4,5,0.51
1,5,5,0.28
2,5,5,0.3
3,5,5,0.33
4,5,5,0.34
5,5,5,0.36
6,5,5,0.41
7,5,5,0.45
8,5,5,0.48
9,5,5,0.5
10,5,5,0.52
11,5,5,0.54
12,5,5,0.55
13,5,5,0.55
14,5,5,0.56
15,5,5,0.56
16,5,5,0.56
17,5,5,0.54
18,5,5,0.53
19,5,5,0.52
1,6,5,0.4
2,6,5,0.42
3,6,5,0.4
4,6,5,0.39
5,6,5,0.39
6,6,5,0.43
7,6,5,0.46
8,6,5,0.49
9,6,5,0.51
10,6,5,0.53
11,6,5,0.54
12,6,5,0.55
13,6,5,0.56
14,6,5,0.56
15,6,5,0.56
16,6,5,0.56
17,6,5,0.55
18,6,5,0.54
19,6,5,0.53
1,7,5,0.54
2,7,5,0.56
3,7,5,0.49
4,7,5,0.47
